transactionId,userId,timestamp,merchantName,amount
3b936d4c-c887-4cfe-9c66-c6f2bd0aae39,cdedfe50,2024-01-12 16:37:34,eBay,563.86
e8e68e3c-0e09-4046-bcf0-e0e909d1f1a9,989100f9,2024-10-02 16:36:05,Amazon,813.7
1bf7d1b7-32d4-483a-9f89-b62c5d0a9097,d052be47,2024-05-19 16:36:23,Best Buy,93.72
27318254-f5f5-43c5-9777-d12d266116d2,462dbd40,2023-12-28 16:34:38,Apple,844.58
2b3df3f4-d962-4dfc-b677-cc5bee0b750f,4bd9194d,2024-09-27 16:39:25,Amazon,376.04
a8e3c2a2-fed7-428a-8aa5-18c76cc4d8ea,bbecb2e5,2024-07-20 16:39:42,Costco,139.13
c603eff5-f413-4710-be96-040d99c85c68,32f7bb54,2024-02-06 16:37:00,Costco,849.73
e802f645-8995-415f-bfc5-ceb9a859c15d,0ac350f9,2023-12-28 16:39:52,Starbucks,295.72
05b7c096-ec86-4bc3-868a-ba0fe0dfbdc8,ac0471d6,2024-05-09 16:36:31,Walmart,120.32
332de9c2-f273-4e2b-ab0c-ed0f7172dd25,2c1c971c,2024-08-28 16:38:17,Amazon,464.55
d22672da-74c8-4694-b3f7-425aabcb9888,ffc87fb6,2023-12-27 16:35:30,eBay,948.66
2b371eda-6c32-40af-b70a-2fe7cc152f74,239c701d,2024-05-13 16:36:41,Amazon,922.82
8de661e7-45ec-4e1c-8d97-6549bf8cec6f,a294ee9f,2024-03-17 16:39:10,Best Buy,835.61
494f7e11-a4e9-46a8-addf-8750f8c95dc6,65df5011,2024-10-04 16:34:23,Apple,819.43
31494215-6288-43b7-a462-8b24523d9b69,491c2603,2024-10-17 16:37:42,Walmart,211.96
db1b4298-3a91-4980-97ef-d26a2c56a69d,9810da6d,2024-11-30 16:39:17,Amazon,6.3
dfdf80cf-8ea3-4025-9d8c-c09503bdc02f,71d92f2b,2024-06-07 16:34:57,McDonald's,649.95
a2337f69-a333-47b9-bf77-43eea06e64c0,ddea2c09,2024-03-20 16:38:50,Uber,153.59
b8f3e6a0-db9b-431f-ab71-12f5a5c49734,ae0d7a4e,2024-03-06 16:34:27,Amazon,607.5
9600afee-c549-438d-a353-438003a9fdfd,68714a5f,2024-09-16 16:37:03,eBay,295.9
c51a4649-f9f8-4425-8b92-ee5adcb49e9b,a04dab8d,2024-11-30 16:37:27,eBay,807.9
2a92d222-1755-4e1d-978d-f373d58596d4,dcb228fd,2024-10-04 16:39:16,Walmart,355.75
bb41ac6a-8fdd-4280-b211-550c0fc0d3c9,a3c309f0,2024-07-06 16:39:15,Apple,33.08
253ea4c0-64ba-4a3d-b961-e33e5204c6ea,1295025a,2024-06-18 16:34:03,Uber,918.68
